img_tag,x_center,y_center,width,height
01_10_12,0.235,0.724375,0.022499999999999992,0.02124999999999999
01_10_12,0.645,0.4075,0.025000000000000022,0.02999999999999997
01_10_20,0.534375,0.27749999999999997,0.018749999999999933,0.017500000000000016
01_10_20,0.671875,0.14,0.026250000000000107,0.0325
01_10_20,0.915,0.395,0.02749999999999997,0.017500000000000016
01_10_20,0.881875,0.7306250000000001,0.02124999999999999,0.01375000000000004
01_10_21,0.315,0.060625,0.022499999999999964,0.01875000000000001
01_10_21,0.513125,0.854375,0.021250000000000102,0.018750000000000044
01_10_21,0.78125,0.621875,0.02499999999999991,0.036250000000000004
01_10_21,0.889375,0.32999999999999996,0.016249999999999987,0.017500000000000016
01_10_22,0.46375,0.15187499999999998,0.01749999999999996,0.018750000000000017
01_10_22,0.793125,0.275625,0.018750000000000044,0.023749999999999993
01_10_23,0.11624999999999999,0.090625,0.020000000000000004,0.026249999999999996
01_10_23,0.35375,0.0825,0.022499999999999964,0.03
01_10_23,0.6343749999999999,0.0925,0.016249999999999987,0.015
01_10_23,0.72125,0.15375,0.019999999999999907,0.015000000000000013
01_10_23,0.945625,0.14250000000000002,0.02124999999999999,0.017499999999999988
01_10_24,0.448125,0.0475,0.023749999999999993,0.0175
01_10_24,0.6,0.2375,0.022499999999999964,0.024999999999999994
01_10_25,0.07625,0.011875,0.03,0.021249999999999998
01_10_25,0.7893749999999999,0.24874999999999997,0.016249999999999987,0.01999999999999999
01_10_25,0.860625,0.049375,0.026249999999999996,0.018749999999999996
01_10_27,0.07,0.565,0.025,0.01749999999999996
01_10_27,0.42625,0.506875,0.02250000000000002,0.021249999999999936
01_10_27,0.791875,0.55,0.016250000000000098,0.01749999999999996
01_10_27,0.9075,0.6156250000000001,0.020000000000000018,0.016249999999999987
01_10_28,0.2825,0.675,0.017500000000000016,0.022500000000000075
01_10_28,0.428125,0.5075000000000001,0.04125000000000001,0.03250000000000003
01_10_28,0.518125,0.798125,0.02375000000000005,0.036250000000000004
01_10_28,0.9375,0.5706249999999999,0.020000000000000018,0.026249999999999996
01_10_29,0.1525,0.700625,0.015000000000000013,0.01375000000000004
01_10_29,0.22062500000000002,0.503125,0.018750000000000017,0.023749999999999993
01_10_29,0.218125,0.77,0.02125000000000002,0.015000000000000013
01_10_29,0.275625,0.024375,0.02124999999999999,0.02625
01_10_29,0.585,0.151875,0.020000000000000018,0.026249999999999996
01_10_30,0.6925,0.25375000000000003,0.01750000000000007,0.02250000000000002
01_10_30,0.911875,0.79375,0.02124999999999999,0.022500000000000075
01_11_11,0.23625000000000002,0.624375,0.01999999999999999,0.018750000000000044
01_11_11,0.358125,0.771875,0.011250000000000038,0.018750000000000044
01_11_11,0.914375,0.7731250000000001,0.02124999999999999,0.018749999999999933
01_11_18,0.1375,0.840625,0.022499999999999992,0.02124999999999999
01_11_18,0.594375,0.595,0.018750000000000044,0.022499999999999964
01_11_19,0.015625,0.239375,0.018750000000000003,0.02124999999999999
01_11_19,0.20124999999999998,0.6174999999999999,0.01999999999999999,0.02749999999999997
01_11_19,0.7025,0.645625,0.01750000000000007,0.013749999999999929
01_11_20,0.34875,0.32999999999999996,0.01749999999999996,0.02250000000000002
01_11_20,0.554375,0.3775,0.02124999999999999,0.015000000000000013
01_11_20,0.985625,0.521875,0.01375000000000004,0.023749999999999938
01_11_30,0.6481250000000001,0.09937499999999999,0.006249999999999978,0.008749999999999994
01_11_30,0.09625,0.97,0.010000000000000009,0.015000000000000013
01_11_30,0.6543749999999999,0.106875,0.008749999999999925,0.008750000000000008
01_12_17,0.290625,0.5774999999999999,0.026249999999999996,0.025000000000000022
01_12_17,0.7424999999999999,0.28812499999999996,0.02749999999999997,0.028749999999999998
01_12_17,0.531875,0.4625,0.03875000000000006,0.027500000000000024
01_12_18,0.37812500000000004,0.21000000000000002,0.023749999999999993,0.01999999999999999
01_12_18,0.330625,0.28125,0.02375000000000005,0.030000000000000027
01_12_18,0.314375,0.986875,0.016249999999999987,0.01375000000000004
01_13_12,0.130625,0.739375,0.018750000000000017,0.016250000000000098
01_13_12,0.266875,0.729375,0.011250000000000038,0.02124999999999999
01_13_12,0.846875,0.9568749999999999,0.01375000000000004,0.016249999999999987
01_13_12,0.06937499999999999,0.320625,0.011249999999999996,0.006249999999999978
01_13_12,0.699375,0.250625,0.011249999999999982,0.016249999999999987
01_13_13,0.68125,0.52,0.030000000000000027,0.044999999999999984
01_13_13,0.2425,0.8475,0.01749999999999996,0.020000000000000018
01_13_13,0.436875,0.801875,0.02124999999999999,0.018750000000000044
01_13_13,0.5018750000000001,0.90875,0.02375000000000005,0.029999999999999916
01_13_14,0.173125,0.809375,0.04125000000000001,0.053750000000000075
01_13_14,0.869375,0.535,0.018750000000000044,0.022499999999999964
01_13_15,0.6225,0.18,0.022500000000000075,0.027499999999999997
01_13_15,0.895,0.718125,0.020000000000000018,0.018750000000000044
01_13_16,0.9412499999999999,0.17625000000000002,0.02749999999999997,0.024999999999999994
01_13_16,0.9475,0.3775,0.030000000000000027,0.02749999999999997
01_13_17,0.9450000000000001,0.40375,0.01749999999999996,0.020000000000000018
01_13_17,0.72,0.536875,0.015000000000000013,0.016249999999999987
01_13_18,0.024375,0.075625,0.028749999999999998,0.02124999999999999
01_13_18,0.28125,0.33625,0.012499999999999956,0.015000000000000013
01_13_18,0.52125,0.660625,0.01750000000000007,0.016249999999999987
01_13_18,0.73375,0.37,0.01750000000000007,0.020000000000000018
01_13_18,0.8375,0.484375,0.020000000000000018,0.02375000000000005
01_13_18,0.9924999999999999,0.651875,0.015000000000000013,0.013749999999999929
01_13_18,0.061875,0.9962500000000001,0.023749999999999993,0.007499999999999951
01_13_24,0.5743750000000001,0.291875,0.01375000000000004,0.03375
01_13_24,0.33499999999999996,0.526875,0.019999999999999962,0.016249999999999987
01_13_7,0.74375,0.12125,0.020000000000000018,0.020000000000000004
01_13_7,0.9337500000000001,0.2525,0.025000000000000022,0.017499999999999988
01_13_7,0.953125,0.46625,0.02124999999999999,0.022499999999999964
01_14_12,0.5631250000000001,0.29875,0.016249999999999987,0.025000000000000022
01_14_12,0.808125,0.78125,0.016249999999999987,0.02499999999999991
01_14_12,0.5706249999999999,0.484375,0.018749999999999933,0.03125
01_14_12,0.6231249999999999,0.228125,0.01375000000000004,0.01874999999999999
01_14_12,0.619375,0.7875,0.013749999999999929,0.020000000000000018
01_14_13,0.32437499999999997,0.26249999999999996,0.023749999999999993,0.044999999999999984
01_14_13,0.5625,0.701875,0.0674999999999999,0.06374999999999997
